"Average D conjugations","Average T conjugations","tick","run","random_seed"
0.0,0.0,101.0,1,2142018072
0.0,0.0,103.0,1,2142018072
0.0,0.0,105.0,1,2142018072
0.0,0.0,107.0,1,2142018072
0.0,0.0,109.0,1,2142018072
0.0,0.0,111.0,1,2142018072
0.003124999999999998,0.0,113.0,1,2142018072
0.00298507462686567,0.0,115.0,1,2142018072
0.002881844380403456,0.0,117.0,1,2142018072
0.0028328611898016977,0.0,119.0,1,2142018072
0.0027397260273972586,0.0,121.0,1,2142018072
0.0026455026455026436,0.0,123.0,1,2142018072
0.0025641025641025615,0.0,125.0,1,2142018072
0.0024999999999999988,0.0,127.0,1,2142018072
0.0023923444976076554,0.0,129.0,1,2142018072
0.0022727272727272717,0.0,131.0,1,2142018072
0.0021691973969631233,0.0,133.0,1,2142018072
0.0020491803278688543,0.0,135.0,1,2142018072
0.0019841269841269866,0.0,137.0,1,2142018072
0.0019047619047619071,0.0,139.0,1,2142018072
0.001831501831501833,0.0,141.0,1,2142018072
0.0017793594306049836,0.0,143.0,1,2142018072
0.0017035775127768325,0.0,145.0,1,2142018072
0.0016501650165016513,0.0,147.0,1,2142018072
0.00159744408945687,0.0,149.0,1,2142018072
0.0015432098765432107,0.0,151.0,1,2142018072
0.0014858841010401194,0.0,153.0,1,2142018072
0.0014184397163120573,0.0,155.0,1,2142018072
0.0013698630136986308,0.0,157.0,1,2142018072
0.001319261213720317,0.0,159.0,1,2142018072
0.0012658227848101275,0.0,161.0,1,2142018072
0.0012106537530266357,0.0,163.0,1,2142018072
0.001161440185830431,0.0,165.0,1,2142018072
0.0011098779134295243,0.0,167.0,1,2142018072
0.0010548523206751073,0.0,169.0,1,2142018072
0.001013171225937185,0.0,171.0,1,2142018072
9.680542110358201E-4,0.0,173.0,1,2142018072
9.319664492078305E-4,0.0,175.0,1,2142018072
9.033423667570029E-4,0.0,177.0,1,2142018072
8.779631255487289E-4,0.0,179.0,1,2142018072
8.46740050804405E-4,0.0,181.0,1,2142018072
8.169934640522893E-4,0.0,183.0,1,2142018072
7.830853563038392E-4,0.0,185.0,1,2142018072
7.518796992481221E-4,0.0,187.0,1,2142018072
7.24112961622015E-4,0.0,189.0,1,2142018072
6.978367062107485E-4,0.0,191.0,1,2142018072
0.001343183344526531,0.0,193.0,1,2142018072
0.0012870012870012902,0.0,195.0,1,2142018072
0.0012254901960784348,0.0,197.0,1,2142018072
0.001173708920187797,0.0,199.0,1,2142018072
0.0016872890888638924,0.0,201.0,1,2142018072
0.002702702702702703,0.0,203.0,1,2142018072
0.002597402597402597,0.0,205.0,1,2142018072
0.0024826216484607764,0.0,207.0,1,2142018072
0.003354096789650221,0.0,209.0,1,2142018072
0.0036985668053629273,0.0,211.0,1,2142018072
0.003991130820399118,0.0,213.0,1,2142018072
0.003842869342442364,0.0,215.0,1,2142018072
0.003702180172768412,0.0,217.0,1,2142018072
0.003977724741447899,0.0,219.0,1,2142018072
0.004595940252776718,0.0,221.0,1,2142018072
0.004760161113145386,0.0,223.0,1,2142018072
0.004571026722925465,0.0,225.0,1,2142018072
0.004394861392833005,0.0,227.0,1,2142018072
0.00490516677567038,0.0,229.0,1,2142018072
0.004691898654989069,0.0,231.0,1,2142018072
0.004793289394847216,0.0,233.0,1,2142018072
0.004613610149942328,0.0,235.0,1,2142018072
0.004710446106954838,0.0,237.0,1,2142018072
0.005055880787653017,0.0,239.0,1,2142018072
0.005629477993858745,0.0,241.0,1,2142018072
0.005885237861696907,0.0,243.0,1,2142018072
0.006332082551594744,0.0,245.0,1,2142018072
0.006556635767578572,0.0,247.0,1,2142018072
0.006758229779812516,0.0,249.0,1,2142018072
0.00672692873659869,0.0,251.0,1,2142018072
0.0068589872907000235,0.0,253.0,1,2142018072
0.006991648863857066,0.0,255.0,1,2142018072
0.0074280408542247,0.0,257.0,1,2142018072
0.007517451226060481,0.0,259.0,1,2142018072
0.007902422264215777,0.0,261.0,1,2142018072
0.007924715205547286,0.0,263.0,1,2142018072
0.007963051441312322,0.0,265.0,1,2142018072
0.007949854762268758,0.0,267.0,1,2142018072
0.008503152030494064,0.0,269.0,1,2142018072
0.008185153824442558,0.0,271.0,1,2142018072
0.008021753908905511,0.0,273.0,1,2142018072
0.008119434258774236,0.0,275.0,1,2142018072
0.00790563433304054,0.0,277.0,1,2142018072
0.007749122169754206,0.0,279.0,1,2142018072
0.007706679121905651,0.0,281.0,1,2142018072
0.00799279522683779,0.0,283.0,1,2142018072
0.007883369330453575,0.0,285.0,1,2142018072
0.008151321977218136,0.0,287.0,1,2142018072
0.008144796380090514,0.0,289.0,1,2142018072
0.008526305590543567,0.0,291.0,1,2142018072
0.00869240115898683,0.0,293.0,1,2142018072
0.008557016753738095,0.0,295.0,1,2142018072
0.00860944429950437,0.0,297.0,1,2142018072
0.008723368562321773,0.0,299.0,1,2142018072
0.008745647420843815,0.0,301.0,1,2142018072
0.008748633026089712,0.0,303.0,1,2142018072
0.008877520312970233,0.0,305.0,1,2142018072
0.008953268306886112,0.0,307.0,1,2142018072
0.00913370336541838,0.0,309.0,1,2142018072
0.009296328967903939,0.0,311.0,1,2142018072
0.009266561514195592,0.0,313.0,1,2142018072
0.009511731135066549,0.0,315.0,1,2142018072
0.009683152540295344,0.0,317.0,1,2142018072
0.009958506224066348,0.0,319.0,1,2142018072
0.009897591395388759,0.0,321.0,1,2142018072
0.009956302892859129,0.0,323.0,1,2142018072
0.010015532108617628,0.0,325.0,1,2142018072
0.01017494678918131,0.0,327.0,1,2142018072
0.01015687851971036,0.0,329.0,1,2142018072
0.01006173139551853,0.0,331.0,1,2142018072
0.010121457489878551,0.0,333.0,1,2142018072
0.010388663598669518,0.0,335.0,1,2142018072
0.010550478965258358,0.0,337.0,1,2142018072
0.010522713662417686,0.0,339.0,1,2142018072
0.010582230153131103,0.0,341.0,1,2142018072
0.010464461080254306,0.0,343.0,1,2142018072
0.010683927318100328,0.0,345.0,1,2142018072
0.010637492428830917,0.0,347.0,1,2142018072
0.01056997100598228,0.0,349.0,1,2142018072
0.010479788978398795,0.0,351.0,1,2142018072
0.010388531061707855,0.0,353.0,1,2142018072
0.010216083610579027,0.0,355.0,1,2142018072
0.010315672640616336,0.0,357.0,1,2142018072
0.010438148418414298,0.0,359.0,1,2142018072
0.010541565206670201,0.0,361.0,1,2142018072
0.010496011515623965,0.0,363.0,1,2142018072
0.010467082628724717,0.0,365.0,1,2142018072
0.010419328279817211,0.0,367.0,1,2142018072
