"Time","run","random_seed","gamma0","gamma0d","gamma0t","gammaI","Density","GammaEp","Rate","Plasmid","G","Gd","Gr","Gt","N","Nd","Nr","Nt","RCh","RCv","RCt","WetLabRateCurve"
"235.0",1,4745,"0.08451126691912564","0.08451126691912564","0.0","0.426006426006426","0.046049100206232166","3.709515488454371E-11","0.10841946278911363","OriTR388","37.56401061955523","38.285981977642244","38.54060096472025","76.35348957816417","3539700.0","163000.0","3010600.0","366100.0","0.615678776290631","0.384321223709369","0.0","0.10873545000000003"
"245.0",1,4745,"0.09352978859705317","0.09352978859705317","0.0","0.44309559939301973","0.04509731525924363","3.567874461062238E-11","0.11657644719399028","OriTR388","38.55481692085219","39.47356853817356","38.54060096472025","74.65457474835893","3791800.0","171000.0","3198700.0","422100.0","0.6226012793176973","0.3773987206823028","0.0","0.11656335000000001"
"255.0",1,4745,"0.1024328658682226","0.1024328658682226","0.0","0.45326891136947","0.04456701056312019","3.3946830590623E-11","0.12403680127825169","OriTR388","39.51654412794098","40.55255165639433","40.660974272401425","73.48950639856068","4061300.0","181000.0","3399000.0","481300.0","0.6237274049449408","0.3762725950550592","0.0","0.12431165000000004"
"265.0",1,4745,"0.11382785395671567","0.11382785395671567","0.0","0.468070652173913","0.04363678320064613","3.2570501971515864E-11","0.13196120065630731","OriTR388","40.482943195634704","41.726502632698256","40.660974272401425","72.54297714750966","4333500.0","189100.0","3597500.0","546900.0","0.6299140610714938","0.3700859389285061","0.0","0.13193955000000002"
"275.0",1,4745,"0.1236848032433476","0.1236848032433476","0.0","0.4720039292730845","0.04333989998484619","3.0876722980032296E-11","0.13898757665588016","OriTR388","41.431261394580055","42.750793551713464","42.74803971512905","72.00209736428442","4619300.0","200200.0","3804900.0","614200.0","0.6258547704330837","0.3741452295669163","0.0","0.13940625"
"285.0",1,4745,"0.13435755071137892","0.13435755071137892","0.0","0.47395949254395725","0.042709837499237326","2.942991883767594E-11","0.1462958635195139","OriTR388","42.36670685045717","43.83859092808344","43.77039344712912","71.55047680502823","4916900.0","210000.0","4018300.0","688600.0","0.6185013069997095","0.38149869300029043","0.0","0.14667095"
"295.0",1,4745,"0.1444465162533408","0.1444465162533408","0.0","0.47183027103847325","0.04215703159385346","2.7952643134011533E-11","0.15279498142006634","OriTR388","43.29146970511338","44.902804623960684","44.775524101519764","71.36603873125962","5225700.0","220300.0","4240600.0","764800.0","0.6077405857740585","0.3922594142259414","0.0","0.15369285"
"305.0",1,4745,"0.15046097111247694","0.15046097111247694","0.0","0.4623666068561715","0.04177041608025694","2.620100009335347E-11","0.15579867060839436","OriTR388","44.21218987209722","45.928090938337554","45.73959276133715","71.82601975454762","5542200.0","231500.0","4483300.0","827400.0","0.5917331399564902","0.4082668600435098","0.0","0.16043115"
"315.0",1,4745,"0.15529726769305666","0.15529726769305666","0.0","0.45060474971307496","0.04168512900916868","2.4447843717236967E-11","0.157934983639209","OriTR388","45.12656581031117","46.87706493371013","46.69089737886628","72.44985183956084","5867800.0","244600.0","4735100.0","888100.0","0.5747100551739669","0.4252899448260331","0.0","0.16684505"
"325.0",1,4745,"0.15950938733688938","0.15950938733688938","0.0","0.43816225165562916","0.041295846275166165","2.287654768616482E-11","0.15970858303536956","OriTR388","46.01799471497226","47.87617852975115","47.61106216843457","73.0910442175049","6213700.0","256600.0","5005700.0","951400.0","0.5563380281690141","0.44366197183098594","0.0","0.17289375"
"335.0",1,4745,"0.16327994262491036","0.16327994262491036","0.0","0.427242161232309","0.04095198890057784","2.1401089468862308E-11","0.16061237142902565","OriTR388","46.9191549784635","48.87765581790075","48.532417707167085","73.90906406922045","6558900.0","268600.0","5280000.0","1010300.0","0.5408294565970504","0.4591705434029496","0.0","0.17853645"
"345.0",1,4745,"0.16704215331712813","0.16704215331712813","0.0","0.4152848404451323","0.04129494946573936","1.989842182668423E-11","0.16157152552597842","OriTR388","47.810813021097516","49.69892706561384","49.452075357511085","74.73003849462296","6916100.0","285600.0","5559200.0","1071300.0","0.5259964529076823","0.47400354709231773","0.0","0.18373235"
"355.0",1,4745,"0.16985406614099094","0.16985406614099094","0.0","0.40269252232142855","0.04119526610989976","1.858150240241461E-11","0.16207789235808173","OriTR388","48.68474168333791","50.61156265221283","50.343141403420496","75.57818684433227","7292100.0","300400.0","5858500.0","1133200.0","0.509442287327921","0.4905577126720791","0.0","0.18844065"
"365.0",1,4745,"0.1729944261242595","0.1729944261242595","0.0","0.3924268502581756","0.04108479535983488","1.7449848720281498E-11","0.1629475232957332","OriTR388","49.58296564996575","51.55406673040214","51.26498263472464","76.44709867281466","7654900.0","314500.0","6144300.0","1196100.0","0.49561073488838725","0.5043892651116128","0.0","0.19262055"
"375.0",1,4745,"0.17612320518758684","0.17612320518758684","0.0","0.382449082222781","0.04126672303177998","1.63000012476932E-11","0.16326239479178825","OriTR388","50.455833519728664","52.395365028509296","52.15648141598119","77.35336987445108","8042800.0","331900.0","6452000.0","1258900.0","0.4832790531416316","0.5167209468583684","0.0","0.19623125000000002"
"385.0",1,4745,"0.17891410514220052","0.17891410514220052","0.0","0.3710897932431627","0.04129325551385715","1.5299321373917645E-11","0.16417431249305392","OriTR388","51.3162281387491","53.26286909832757","53.04084536739095","78.15541313560888","8446900.0","348800.0","6768600.0","1329500.0","0.4684467845054532","0.5315532154945468","0.0","0.19923195"
"395.0",1,4745,"0.1824992166804341","0.1824992166804341","0.0","0.3617525831404212","0.04147090711962414","1.4382145968997755E-11","0.1654137996041097","OriTR388","52.17949208628988","54.09494257915388","53.93457205198783","78.9349547333911","8854400.0","367200.0","7083300.0","1403900.0","0.45637153643421896","0.543628463565781","0.0","0.20158185000000006"
"405.0",1,4745,"0.1860307605474813","0.1860307605474813","0.0","0.3539899044141338","0.041562202818362586","1.3571753548487527E-11","0.16660277370616755","OriTR388","53.05752789070566","54.96497750180361","54.84305522838891","79.76447195384684","9253600.0","384600.0","7391400.0","1477600.0","0.44612885760693016","0.5538711423930699","0.0","0.20324015000000006"
"415.0",1,4745,"0.18937211578800167","0.18937211578800167","0.0","0.34591805456217434","0.04173974408202659","1.286662403201747E-11","0.16842652457844634","OriTR388","53.95746655023645","55.83618276184394","55.78464682403065","80.56992369727371","9635900.0","402200.0","7678500.0","1555200.0","0.43537808641975306","0.5646219135802469","0.0","0.2041660500000001"
"425.0",1,4745,"0.19271295474711625","0.19271295474711625","0.0","0.3381172464120652","0.04217959633395102","1.2245851387856883E-11","0.1709194344516021","OriTR388","54.89514884594124","56.67974845146344","56.77908301318437","81.38654524383159","9983500.0","421100.0","7928000.0","1634400.0","0.42523250122369066","0.5747674987763094","0.0","0.20431875"
"435.0",1,4745,"0.19564858620310266","0.19564858620310266","0.0","0.33069877725603236","0.042983983117603014","1.1679494259765254E-11","0.17365281630745155","OriTR388","55.881134709247306","57.48120393737098","57.83373089242262","82.29478339296911","1.02829E7","442000.0","8132000.0","1708900.0","0.4162326642869682","0.5837673357130317","0.0","0.20365745000000002"
"445.0",1,4745,"0.19950430330101318","0.19950430330101318","0.0","0.32606276430002223","0.043545893444877595","1.1247892981014727E-11","0.17725460639838156","OriTR388","56.904155682668396","58.382923510290055","58.93847103565749","83.1737986053288","1.05429E7","459100.0","8296400.0","1787400.0","0.4098131363992391","0.5901868636007609","0.0","0.20214135"
"455.0",1,4745,"0.20302131103318047","0.20302131103318047","0.0","0.3209381663113006","0.044474118585285334","1.0821636865205873E-11","0.18103297684439354","OriTR388","57.942992740776546","59.208565231052845","60.06888437233077","84.08084723605349","1.07838E7","479600.0","8438800.0","1865400.0","0.4034523426610915","0.5965476573389086","0.0","0.1997296500000001"
