"tick","run","random_seed","Donor density"
269.0,1,383639,"0.08853394437704992"
270.0,1,383639,"0.08855320577374957"
271.0,1,383639,"0.088683664000707"
272.0,1,383639,"0.08905562968958503"
273.0,1,383639,"0.08933723831218136"
274.0,1,383639,"0.08952138997136522"
275.0,1,383639,"0.08969914837163522"
276.0,1,383639,"0.08976377952755905"
277.0,1,383639,"0.08984432913269089"
278.0,1,383639,"0.09000168819110323"
279.0,1,383639,"0.09012776330167269"
280.0,1,383639,"0.09009178926191375"
281.0,1,383639,"0.09012211441953831"
282.0,1,383639,"0.09051330956132349"
283.0,1,383639,"0.09061195962752071"
284.0,1,383639,"0.09069933639612048"
285.0,1,383639,"0.09090909090909091"
286.0,1,383639,"0.09121949248424115"
287.0,1,383639,"0.09132218111629403"
288.0,1,383639,"0.0914757581223819"
289.0,1,383639,"0.09145586060824042"
290.0,1,383639,"0.09151056197688322"
291.0,1,383639,"0.09153823207716019"
292.0,1,383639,"0.09175922820447058"
293.0,1,383639,"0.09189887794466094"
294.0,1,383639,"0.09207913080727442"
295.0,1,383639,"0.0922689401278822"
296.0,1,383639,"0.09261475504767787"
297.0,1,383639,"0.09272223718121321"
298.0,1,383639,"0.09284481104929983"
299.0,1,383639,"0.09303750215364588"
300.0,1,383639,"0.09320981759144303"
301.0,1,383639,"0.09327083649612875"
302.0,1,383639,"0.09354771745079167"
303.0,1,383639,"0.09362965189457272"
304.0,1,383639,"0.0937078904027549"
305.0,1,383639,"0.09395510143198091"
306.0,1,383639,"0.09410081034867296"
307.0,1,383639,"0.09439243674112523"
308.0,1,383639,"0.09450785253149337"
309.0,1,383639,"0.09446957806296741"
310.0,1,383639,"0.09444843660752124"
311.0,1,383639,"0.09458191518719529"
312.0,1,383639,"0.09474551446356647"
313.0,1,383639,"0.09507568849170163"
314.0,1,383639,"0.09540507640037064"
315.0,1,383639,"0.09551752241238794"
316.0,1,383639,"0.09562249431140969"
317.0,1,383639,"0.09581269698334084"
318.0,1,383639,"0.09591946791299659"
319.0,1,383639,"0.0960486431223432"
320.0,1,383639,"0.09610254757684802"
321.0,1,383639,"0.09623885918003565"
322.0,1,383639,"0.09655307133597343"
323.0,1,383639,"0.09681014808131204"
324.0,1,383639,"0.09692158419334922"
325.0,1,383639,"0.09708122943753408"
326.0,1,383639,"0.09717395120238723"
327.0,1,383639,"0.09718768605750709"
328.0,1,383639,"0.09720377490387976"
329.0,1,383639,"0.09718562978730828"
330.0,1,383639,"0.09727592573239977"
331.0,1,383639,"0.09748138376351738"
332.0,1,383639,"0.09766645332041723"
333.0,1,383639,"0.09780077619663648"
334.0,1,383639,"0.09783543824632644"
335.0,1,383639,"0.09795708154506438"
336.0,1,383639,"0.09818568075519539"
337.0,1,383639,"0.09837046663132876"
338.0,1,383639,"0.09838723440566602"
339.0,1,383639,"0.09847490840930391"
340.0,1,383639,"0.09850263740003404"
341.0,1,383639,"0.09857431732060018"
342.0,1,383639,"0.09874724902657864"
343.0,1,383639,"0.09883711117487215"
344.0,1,383639,"0.09893921535612056"
345.0,1,383639,"0.0991773002014775"
346.0,1,383639,"0.09926107136274526"
347.0,1,383639,"0.09923076923076923"
348.0,1,383639,"0.0993573157499374"
349.0,1,383639,"0.09942173413101804"
350.0,1,383639,"0.09955413588873362"
351.0,1,383639,"0.09960788223174824"
352.0,1,383639,"0.09983440967047524"
353.0,1,383639,"0.10009578544061302"
354.0,1,383639,"0.10042164904305433"
355.0,1,383639,"0.10063585429571333"
356.0,1,383639,"0.10070503361206755"
357.0,1,383639,"0.10086700474398823"
358.0,1,383639,"0.10087862555526522"
359.0,1,383639,"0.10098819385558672"
360.0,1,383639,"0.10102753668029116"
361.0,1,383639,"0.10115465929419418"
362.0,1,383639,"0.10147323382116984"
363.0,1,383639,"0.10154368382768933"
364.0,1,383639,"0.10153831269349846"
365.0,1,383639,"0.10155118591703408"
366.0,1,383639,"0.10166851343321931"
367.0,1,383639,"0.10174353386109419"
368.0,1,383639,"0.1018351119146281"
369.0,1,383639,"0.10181649705238605"
370.0,1,383639,"0.1020372349759903"
371.0,1,383639,"0.10198652286811209"
372.0,1,383639,"0.1021390119575056"
373.0,1,383639,"0.10229774026508734"
374.0,1,383639,"0.1024968808730397"
375.0,1,383639,"0.10256450672256986"
376.0,1,383639,"0.10268152204702105"
377.0,1,383639,"0.10278715553112978"
378.0,1,383639,"0.1028860775368794"
379.0,1,383639,"0.10309262215544496"
380.0,1,383639,"0.10323004078571094"
