"tick","run","random_seed","Sim (T/(R+T))","Exp (T/(R+T))"
93.0,1,383639,"0.030699959066721245","0.0127657724"
95.0,1,383639,"0.030660377358490566","0.013634850000000004"
97.0,1,383639,"0.030693444486547934","0.014525223599999998"
99.0,1,383639,"0.03144199494036863","0.015436566800000003"
101.0,1,383639,"0.03229166666666667","0.016368553199999997"
103.0,1,383639,"0.034678226075358455","0.0173208564"
105.0,1,383639,"0.0345378957467221","0.018293150000000005"
107.0,1,383639,"0.033445842282908866","0.019285107600000004"
109.0,1,383639,"0.035056446821152706","0.020296402800000002"
111.0,1,383639,"0.03472815257614575","0.021326709200000002"
113.0,1,383639,"0.03741125068268706","0.022375700400000004"
115.0,1,383639,"0.037760760496435175","0.023443049999999997"
117.0,1,383639,"0.038657171922685654","0.02452843159999999"
119.0,1,383639,"0.039483304898854495","0.025631518800000003"
121.0,1,383639,"0.039507925242488764","0.026751985199999995"
123.0,1,383639,"0.043943533697632056","0.0278895044"
125.0,1,383639,"0.045176778699257965","0.029043749999999993"
127.0,1,383639,"0.04568527918781726","0.030214395600000006"
129.0,1,383639,"0.04562118126272913","0.03140111479999999"
131.0,1,383639,"0.04574008637612878","0.032603581199999995"
133.0,1,383639,"0.04844814534443603","0.0338214684"
135.0,1,383639,"0.048939641109298535","0.03505445"
137.0,1,383639,"0.05014852350165997","0.036302199599999994"
139.0,1,383639,"0.04978973927670311","0.0375643908"
141.0,1,383639,"0.05119896305897602","0.038840697199999996"
143.0,1,383639,"0.05467536502019261","0.04013079239999999"
145.0,1,383639,"0.055855855855855854","0.041434349999999995"
147.0,1,383639,"0.05533882386938304","0.042751043600000004"
149.0,1,383639,"0.0549618320610687","0.044080546799999995"
151.0,1,383639,"0.055764075067024126","0.0454225332"
153.0,1,383639,"0.058732412546792304","0.046776676399999995"
155.0,1,383639,"0.06011675568252391","0.04814265"
157.0,1,383639,"0.06126363745354274","0.0495201276"
159.0,1,383639,"0.06218991577247029","0.050908782799999996"
161.0,1,383639,"0.06307504711229353","0.0523082892"
163.0,1,383639,"0.06913816980931074","0.053718320400000005"
165.0,1,383639,"0.06990569905699057","0.05513855000000001"
167.0,1,383639,"0.0707030864806232","0.0565686516"
169.0,1,383639,"0.07057256990679095","0.05800829879999998"
171.0,1,383639,"0.0715202640748212","0.0594571652"
173.0,1,383639,"0.07582184517497349","0.0609149244"
175.0,1,383639,"0.07763101832126118","0.06238125"
177.0,1,383639,"0.07717623827546487","0.0638558156"
179.0,1,383639,"0.07908751291630237","0.0653382948"
181.0,1,383639,"0.08501806441694211","0.06682836119999999"
183.0,1,383639,"0.08463532025175861","0.0683256884"
185.0,1,383639,"0.08660854651993712","0.06982994999999999"
187.0,1,383639,"0.08738938053097345","0.07134081960000001"
189.0,1,383639,"0.08786274378392869","0.0728579708"
191.0,1,383639,"0.08916163387232937","0.0743810772"
193.0,1,383639,"0.09444583437578184","0.0759098124"
195.0,1,383639,"0.09412332569084107","0.07744384999999998"
197.0,1,383639,"0.09762363519588953","0.07898286359999998"
199.0,1,383639,"0.09997738068310337","0.0805265268"
201.0,1,383639,"0.10136686714051395","0.08207451319999999"
203.0,1,383639,"0.1090401726952035","0.08362649639999999"
205.0,1,383639,"0.11067435805809382","0.08518214999999998"
207.0,1,383639,"0.11209074248353064","0.08674114760000001"
209.0,1,383639,"0.11306568991276689","0.08830316279999997"
211.0,1,383639,"0.1182462563958128","0.08986786920000002"
213.0,1,383639,"0.11805932356664858","0.0914349404"
215.0,1,383639,"0.12053142207848964","0.09300404999999998"
217.0,1,383639,"0.12240646258503401","0.09457487160000003"
219.0,1,383639,"0.12349060126976223","0.09614707880000002"
221.0,1,383639,"0.12403132227045888","0.09772034520000002"
223.0,1,383639,"0.13172876830656877","0.09929434440000001"
225.0,1,383639,"0.13245336283523443","0.10086875000000002"
227.0,1,383639,"0.13444159321655696","0.10244323560000002"
229.0,1,383639,"0.13509875959404896","0.10401747479999998"
231.0,1,383639,"0.14073995472552348","0.10559114119999999"
233.0,1,383639,"0.1406823247042688","0.10716390840000001"
235.0,1,383639,"0.1434161677648082","0.10873545000000003"
237.0,1,383639,"0.1454271389717207","0.1103054396"
239.0,1,383639,"0.14729829755736493","0.11187355080000003"
241.0,1,383639,"0.14827282451393695","0.1134394572"
