"tick","Population (D+R+T)","Population (R)","Population (D)","Population (T)"
401.0,"6741800.0","5202200.0","253500.0","1286100.0"
402.0,"6758400.0","5217300.0","254200.0","1286900.0"
403.0,"6775400.0","5230800.0","254400.0","1290200.0"
404.0,"6792500.0","5244800.0","254800.0","1292900.0"
405.0,"6805000.0","5255400.0","254900.0","1294700.0"
406.0,"6818300.0","5266000.0","255100.0","1297200.0"
407.0,"6829100.0","5275700.0","255200.0","1298200.0"
408.0,"6840300.0","5284900.0","255300.0","1300100.0"
409.0,"6850500.0","5294000.0","255500.0","1301000.0"
410.0,"6859400.0","5301600.0","255600.0","1302200.0"
411.0,"6867600.0","5309300.0","255600.0","1302700.0"
412.0,"6884400.0","5320200.0","256200.0","1308000.0"
413.0,"6900800.0","5333800.0","257300.0","1309700.0"
414.0,"6914900.0","5343200.0","258000.0","1313700.0"
415.0,"6926300.0","5352100.0","258000.0","1316200.0"
416.0,"6937100.0","5360000.0","258100.0","1319000.0"
417.0,"6948400.0","5369200.0","258100.0","1321100.0"
418.0,"6957200.0","5375400.0","258600.0","1323200.0"
419.0,"6967400.0","5384500.0","258600.0","1324300.0"
420.0,"6978100.0","5393400.0","258900.0","1325800.0"
421.0,"6985700.0","5399700.0","259100.0","1326900.0"
422.0,"7002800.0","5414200.0","259700.0","1328900.0"
423.0,"7019000.0","5424300.0","260000.0","1334700.0"
424.0,"7033800.0","5435200.0","260200.0","1338400.0"
425.0,"7046500.0","5444200.0","260400.0","1341900.0"
426.0,"7056500.0","5452200.0","260400.0","1343900.0"
427.0,"7069400.0","5462300.0","260800.0","1346300.0"
428.0,"7080400.0","5471400.0","260900.0","1348100.0"
429.0,"7089000.0","5478300.0","260900.0","1349800.0"
430.0,"7097100.0","5485400.0","261100.0","1350600.0"
431.0,"7115700.0","5497500.0","261500.0","1356700.0"
432.0,"7136400.0","5513200.0","261900.0","1361300.0"
433.0,"7150900.0","5523400.0","262300.0","1365200.0"
434.0,"7162100.0","5533300.0","262600.0","1366200.0"
435.0,"7174300.0","5542600.0","263200.0","1368500.0"
436.0,"7188200.0","5554800.0","263200.0","1370200.0"
437.0,"7199300.0","5564100.0","263300.0","1371900.0"
438.0,"7211500.0","5573900.0","263900.0","1373700.0"
439.0,"7222500.0","5583500.0","263900.0","1375100.0"
440.0,"7230900.0","5591000.0","263900.0","1376000.0"
441.0,"7250800.0","5603900.0","264000.0","1382900.0"
442.0,"7268000.0","5618900.0","264400.0","1384700.0"
443.0,"7282700.0","5629300.0","264700.0","1388700.0"
444.0,"7296400.0","5639300.0","265200.0","1391900.0"
445.0,"7308300.0","5648000.0","265200.0","1395100.0"
446.0,"7319800.0","5656500.0","265400.0","1397900.0"
447.0,"7332000.0","5666400.0","265500.0","1400100.0"
448.0,"7343200.0","5675400.0","266200.0","1401600.0"
449.0,"7352400.0","5683200.0","266300.0","1402900.0"
450.0,"7361200.0","5691000.0","266500.0","1403700.0"
451.0,"7379600.0","5702500.0","266700.0","1410400.0"
452.0,"7396100.0","5716200.0","267100.0","1412800.0"
453.0,"7411500.0","5726500.0","267100.0","1417900.0"
454.0,"7424800.0","5735400.0","267600.0","1421800.0"
455.0,"7438300.0","5745900.0","267900.0","1424500.0"
456.0,"7449800.0","5754500.0","268400.0","1426900.0"
457.0,"7461900.0","5764400.0","268400.0","1429100.0"
458.0,"7472900.0","5773500.0","268500.0","1430900.0"
459.0,"7482400.0","5782000.0","268700.0","1431700.0"
460.0,"7491500.0","5789900.0","268800.0","1432800.0"
461.0,"7508500.0","5799000.0","269300.0","1440200.0"
462.0,"7524300.0","5813000.0","269500.0","1441800.0"
463.0,"7538700.0","5822600.0","269700.0","1446400.0"
464.0,"7553600.0","5833700.0","270000.0","1449900.0"
465.0,"7565500.0","5842400.0","270100.0","1453000.0"
466.0,"7577500.0","5851300.0","270700.0","1455500.0"
467.0,"7590300.0","5861100.0","270700.0","1458500.0"
468.0,"7600700.0","5869300.0","271000.0","1460400.0"
469.0,"7611200.0","5878200.0","271100.0","1461900.0"
470.0,"7621200.0","5886500.0","271700.0","1463000.0"
471.0,"7630800.0","5895100.0","271700.0","1464000.0"
472.0,"7646500.0","5904900.0","271900.0","1469700.0"
473.0,"7664500.0","5920300.0","271900.0","1472300.0"
474.0,"7678600.0","5929700.0","272500.0","1476400.0"
475.0,"7692600.0","5940400.0","272500.0","1479700.0"
476.0,"7704200.0","5948700.0","272900.0","1482600.0"
477.0,"7716000.0","5958000.0","273000.0","1485000.0"
478.0,"7727700.0","5967500.0","273300.0","1486900.0"
479.0,"7738500.0","5976100.0","273400.0","1489000.0"
480.0,"7748000.0","5984100.0","273700.0","1490200.0"
481.0,"7756300.0","5991800.0","273700.0","1490800.0"
482.0,"7777100.0","6006400.0","274400.0","1496300.0"
483.0,"7793600.0","6020500.0","274700.0","1498400.0"
484.0,"7810200.0","6032500.0","275000.0","1502700.0"
485.0,"7824600.0","6042500.0","275100.0","1507000.0"
486.0,"7837600.0","6052700.0","275300.0","1509600.0"
487.0,"7851800.0","6064700.0","275600.0","1511500.0"
488.0,"7863800.0","6073800.0","276000.0","1514000.0"
489.0,"7874600.0","6082700.0","276300.0","1515600.0"
490.0,"7884600.0","6090600.0","276600.0","1517400.0"
491.0,"7895800.0","6100300.0","276700.0","1518800.0"
492.0,"7918700.0","6116900.0","277000.0","1524800.0"
493.0,"7936800.0","6132200.0","277400.0","1527200.0"
494.0,"7954100.0","6145300.0","277800.0","1531000.0"
495.0,"7968700.0","6156600.0","278100.0","1534000.0"
496.0,"7982300.0","6166900.0","278100.0","1537300.0"
497.0,"7997400.0","6178600.0","278400.0","1540400.0"
498.0,"8010000.0","6189700.0","278800.0","1541500.0"
499.0,"8020300.0","6197400.0","279100.0","1543800.0"
500.0,"8029800.0","6205300.0","279300.0","1545200.0"
501.0,"8041500.0","6215200.0","279300.0","1547000.0"
