"tick","run","random_seed","Sim (T/(R+T))","Exp (T/(R+T))"
337.0,1,1008711,"0.23795952752236024","0.17961267960000005"
339.0,1,1008711,"0.23774299599771298","0.18067071080000002"
341.0,1,1008711,"0.2387860685903248","0.18171021720000002"
343.0,1,1008711,"0.23871914562557464","0.18273087240000002"
345.0,1,1008711,"0.23894210452176362","0.18373235"
347.0,1,1008711,"0.23867504122951683","0.18471432359999995"
349.0,1,1008711,"0.23833336247442868","0.1856764668"
351.0,1,1008711,"0.23788684508761224","0.18661845320000003"
353.0,1,1008711,"0.23783530879600748","0.18753995639999999"
355.0,1,1008711,"0.23792687133494309","0.18844065"
357.0,1,1008711,"0.23742637841921801","0.18932020760000007"
359.0,1,1008711,"0.23715732913515178","0.19017830280000003"
361.0,1,1008711,"0.23687265278251962","0.19101460920000002"
363.0,1,1008711,"0.23681441759435243","0.1918288004000001"
365.0,1,1008711,"0.2364465461915217","0.19262055"
367.0,1,1008711,"0.23595600107642625","0.1933895316000001"
369.0,1,1008711,"0.23563343674016937","0.19413541880000001"
371.0,1,1008711,"0.23528329654157468","0.19485788520000002"
373.0,1,1008711,"0.23524130937141527","0.19555660440000006"
375.0,1,1008711,"0.23506055191582292","0.19623125000000002"
377.0,1,1008711,"0.23459719544548255","0.19688149559999996"
379.0,1,1008711,"0.234377053489289","0.19750701480000005"
381.0,1,1008711,"0.23470424381451746","0.1981074812"
383.0,1,1008711,"0.23443205529473135","0.19868256840000004"
385.0,1,1008711,"0.23429610507687562","0.19923195"
387.0,1,1008711,"0.23405150103519667","0.1997552996000001"
389.0,1,1008711,"0.23363642226091444","0.20025229080000007"
391.0,1,1008711,"0.23349170171102052","0.20072259720000007"
393.0,1,1008711,"0.23306228733006373","0.20116589240000005"
395.0,1,1008711,"0.23285927905570933","0.20158185000000006"
397.0,1,1008711,"0.23246670894102728","0.20197014359999999"
399.0,1,1008711,"0.23225214682207077","0.20233044680000006"
401.0,1,1008711,"0.23161492542015152","0.20266243320000005"
403.0,1,1008711,"0.23140353352458887","0.20296577640000008"
405.0,1,1008711,"0.23137009842212156","0.20324015000000006"
407.0,1,1008711,"0.23117283470083608","0.2034852276000001"
409.0,1,1008711,"0.23085999968947474","0.20370068279999998"
411.0,1,1008711,"0.230731187116517","0.2038861892"
413.0,1,1008711,"0.23048046893029123","0.2040414204"
415.0,1,1008711,"0.230177342468693","0.2041660500000001"
417.0,1,1008711,"0.22981622645544675","0.20425975159999998"
419.0,1,1008711,"0.22958087663970017","0.20432219880000002"
421.0,1,1008711,"0.22967655682664115","0.20435306520000007"
423.0,1,1008711,"0.22912195859150672","0.2043520244"
425.0,1,1008711,"0.2291832834203675","0.20431875"
427.0,1,1008711,"0.22902664426308209","0.20425291560000014"
429.0,1,1008711,"0.2288381556506388","0.20415419479999997"
431.0,1,1008711,"0.2283454009117726","0.2040222612000001"
433.0,1,1008711,"0.22819398935460436","0.2038567884"
435.0,1,1008711,"0.2280442586382639","0.20365745000000002"
437.0,1,1008711,"0.2279025252153427","0.20342391960000006"
439.0,1,1008711,"0.22752635752253972","0.20315587080000008"
441.0,1,1008711,"0.2276592941727535","0.20285297719999995"
