"tick","run","random_seed","Gamma end-point (D+R+T growth rate)"
182.0,1,1008711,"2.5181020721487795E-10"
183.0,1,1008711,"2.4612816640870347E-10"
184.0,1,1008711,"2.460892795325623E-10"
185.0,1,1008711,"2.420317501572718E-10"
186.0,1,1008711,"2.407633851486079E-10"
187.0,1,1008711,"2.3788088311124135E-10"
188.0,1,1008711,"2.330410991275631E-10"
189.0,1,1008711,"2.2596824777131113E-10"
190.0,1,1008711,"2.2274696245472307E-10"
191.0,1,1008711,"2.1744453043021244E-10"
192.0,1,1008711,"2.2270415476476577E-10"
193.0,1,1008711,"2.1751217100467174E-10"
194.0,1,1008711,"2.1568633116696267E-10"
195.0,1,1008711,"2.1405917015175847E-10"
196.0,1,1008711,"2.1249503243498912E-10"
197.0,1,1008711,"2.086603524045577E-10"
198.0,1,1008711,"2.0505476999062309E-10"
199.0,1,1008711,"2.0101516305085804E-10"
200.0,1,1008711,"1.986607445148831E-10"
201.0,1,1008711,"1.9591324672791746E-10"
202.0,1,1008711,"1.9873647273021443E-10"
203.0,1,1008711,"1.946758519774045E-10"
204.0,1,1008711,"1.9431109834530238E-10"
205.0,1,1008711,"1.907782263549675E-10"
206.0,1,1008711,"1.8879933105921958E-10"
207.0,1,1008711,"1.8466781036602117E-10"
208.0,1,1008711,"1.82416470525382E-10"
209.0,1,1008711,"1.796751081948214E-10"
210.0,1,1008711,"1.775010525517097E-10"
211.0,1,1008711,"1.7938669808181905E-10"
212.0,1,1008711,"1.7614428181612127E-10"
213.0,1,1008711,"1.7554581451893135E-10"
214.0,1,1008711,"1.740866718468657E-10"
215.0,1,1008711,"1.7136927755487745E-10"
216.0,1,1008711,"1.6935020312498604E-10"
217.0,1,1008711,"1.661646697350404E-10"
218.0,1,1008711,"1.638328665851514E-10"
219.0,1,1008711,"1.61151223633384E-10"
220.0,1,1008711,"1.5921404055669236E-10"
221.0,1,1008711,"1.6008205724456491E-10"
222.0,1,1008711,"1.5782525178825165E-10"
223.0,1,1008711,"1.5673718866355048E-10"
224.0,1,1008711,"1.554622929717378E-10"
225.0,1,1008711,"1.5396990664775045E-10"
226.0,1,1008711,"1.5180705962826904E-10"
227.0,1,1008711,"1.4945405682635573E-10"
228.0,1,1008711,"1.484096266974769E-10"
229.0,1,1008711,"1.4675619787272152E-10"
230.0,1,1008711,"1.4508706864877655E-10"
231.0,1,1008711,"1.451020149683911E-10"
232.0,1,1008711,"1.4238086313422499E-10"
233.0,1,1008711,"1.4146586944063778E-10"
234.0,1,1008711,"1.408743760677297E-10"
235.0,1,1008711,"1.3939471173291672E-10"
236.0,1,1008711,"1.3775714512642062E-10"
237.0,1,1008711,"1.3616731871236492E-10"
238.0,1,1008711,"1.3521511378598067E-10"
239.0,1,1008711,"1.337357864745378E-10"
240.0,1,1008711,"1.3247209234949195E-10"
241.0,1,1008711,"1.3336265553255998E-10"
242.0,1,1008711,"1.3116352207273941E-10"
243.0,1,1008711,"1.3012368885706243E-10"
244.0,1,1008711,"1.2913751650741623E-10"
245.0,1,1008711,"1.2800736158639454E-10"
246.0,1,1008711,"1.2704344735577378E-10"
247.0,1,1008711,"1.2584179891160436E-10"
248.0,1,1008711,"1.2465037267554692E-10"
249.0,1,1008711,"1.2355207351352004E-10"
250.0,1,1008711,"1.2237602143182852E-10"
251.0,1,1008711,"1.2192764746578859E-10"
252.0,1,1008711,"1.2006807955717885E-10"
253.0,1,1008711,"1.1947654374069132E-10"
254.0,1,1008711,"1.186091665632416E-10"
255.0,1,1008711,"1.1783155808512844E-10"
256.0,1,1008711,"1.170416471883297E-10"
257.0,1,1008711,"1.1611068450789247E-10"
258.0,1,1008711,"1.1540220866041929E-10"
259.0,1,1008711,"1.1429393230441356E-10"
260.0,1,1008711,"1.1338930130690602E-10"
261.0,1,1008711,"1.1301288454389805E-10"
262.0,1,1008711,"1.1171623405294243E-10"
263.0,1,1008711,"1.1078926166971744E-10"
264.0,1,1008711,"1.1013830466047785E-10"
265.0,1,1008711,"1.0948590821896508E-10"
266.0,1,1008711,"1.0877024216579403E-10"
267.0,1,1008711,"1.0811389907058632E-10"
268.0,1,1008711,"1.0740191438186508E-10"
269.0,1,1008711,"1.0665004957834465E-10"
270.0,1,1008711,"1.0593135199274349E-10"
271.0,1,1008711,"1.043956689985226E-10"
272.0,1,1008711,"1.0432700116702503E-10"
273.0,1,1008711,"1.031589046489378E-10"
274.0,1,1008711,"1.0262261286350881E-10"
275.0,1,1008711,"1.020654067481376E-10"
276.0,1,1008711,"1.0157018909956654E-10"
277.0,1,1008711,"1.0098099626670605E-10"
278.0,1,1008711,"1.0051133100769664E-10"
279.0,1,1008711,"9.990917169074747E-11"
280.0,1,1008711,"9.932869211216551E-11"
281.0,1,1008711,"9.922557634672936E-11"
282.0,1,1008711,"9.808523619811706E-11"
283.0,1,1008711,"9.766526765688293E-11"
284.0,1,1008711,"9.725311510104882E-11"
285.0,1,1008711,"9.662945032817841E-11"
286.0,1,1008711,"9.620111958732619E-11"
287.0,1,1008711,"9.556246396228527E-11"
288.0,1,1008711,"9.517897365315471E-11"
289.0,1,1008711,"9.466411228556324E-11"
290.0,1,1008711,"9.421007428286332E-11"
291.0,1,1008711,"9.444938630634762E-11"
292.0,1,1008711,"9.359381017402893E-11"
293.0,1,1008711,"9.317983794715463E-11"
294.0,1,1008711,"9.282177354779085E-11"
295.0,1,1008711,"9.23186374723019E-11"
296.0,1,1008711,"9.184314144468447E-11"
297.0,1,1008711,"9.133504633483713E-11"
298.0,1,1008711,"9.09339657907907E-11"
299.0,1,1008711,"9.051994567227097E-11"
300.0,1,1008711,"9.009656122033149E-11"
301.0,1,1008711,"8.962383747295196E-11"
302.0,1,1008711,"8.949851270404536E-11"
303.0,1,1008711,"8.905237214646652E-11"
304.0,1,1008711,"8.871128176341016E-11"
305.0,1,1008711,"8.827827188421779E-11"
306.0,1,1008711,"8.786348325183069E-11"
307.0,1,1008711,"8.745140063247037E-11"
308.0,1,1008711,"8.71353974364731E-11"
309.0,1,1008711,"8.670057244520898E-11"
310.0,1,1008711,"8.630996436734952E-11"
311.0,1,1008711,"8.576564853478995E-11"
312.0,1,1008711,"8.568024504948511E-11"
313.0,1,1008711,"8.53598965543356E-11"
314.0,1,1008711,"8.50679347753644E-11"
315.0,1,1008711,"8.472517178292805E-11"
316.0,1,1008711,"8.426249468951604E-11"
317.0,1,1008711,"8.392638739408874E-11"
318.0,1,1008711,"8.361195872313156E-11"
319.0,1,1008711,"8.325364843550236E-11"
320.0,1,1008711,"8.29128379707559E-11"
321.0,1,1008711,"8.254510893371342E-11"
322.0,1,1008711,"8.247952735647409E-11"
323.0,1,1008711,"8.19986341515199E-11"
324.0,1,1008711,"8.166258045075893E-11"
325.0,1,1008711,"8.134078081996262E-11"
326.0,1,1008711,"8.101765732873735E-11"
327.0,1,1008711,"8.072529034407404E-11"
328.0,1,1008711,"8.04121300214648E-11"
329.0,1,1008711,"8.00785631821645E-11"
330.0,1,1008711,"7.977032725921276E-11"
331.0,1,1008711,"7.935538585105322E-11"
332.0,1,1008711,"7.920300833259927E-11"
333.0,1,1008711,"7.880203536336512E-11"
334.0,1,1008711,"7.857051900949408E-11"
335.0,1,1008711,"7.83125690632755E-11"
336.0,1,1008711,"7.804727077815424E-11"
337.0,1,1008711,"7.770664779084618E-11"
338.0,1,1008711,"7.73676155876622E-11"
339.0,1,1008711,"7.702659589457753E-11"
340.0,1,1008711,"7.673999900921894E-11"
341.0,1,1008711,"7.656439404532795E-11"
342.0,1,1008711,"7.614775198252026E-11"
343.0,1,1008711,"7.587437689630454E-11"
344.0,1,1008711,"7.560552381170683E-11"
345.0,1,1008711,"7.522773114188326E-11"
346.0,1,1008711,"7.490986274459254E-11"
347.0,1,1008711,"7.461052728984663E-11"
348.0,1,1008711,"7.424792323842236E-11"
349.0,1,1008711,"7.3955969687162E-11"
350.0,1,1008711,"7.364373213455392E-11"
351.0,1,1008711,"7.333297429562073E-11"
352.0,1,1008711,"7.309406676698224E-11"
353.0,1,1008711,"7.269421022525794E-11"
354.0,1,1008711,"7.243812241569748E-11"
355.0,1,1008711,"7.213718255919906E-11"
356.0,1,1008711,"7.177759405469617E-11"
357.0,1,1008711,"7.14612256096986E-11"
358.0,1,1008711,"7.11571804871654E-11"
359.0,1,1008711,"7.088086031746246E-11"
360.0,1,1008711,"7.063328093082227E-11"
361.0,1,1008711,"7.035519741414568E-11"
362.0,1,1008711,"7.00122163016489E-11"
363.0,1,1008711,"6.976921563265741E-11"
364.0,1,1008711,"6.943520242772716E-11"
365.0,1,1008711,"6.913589024657913E-11"
366.0,1,1008711,"6.880661718895307E-11"
367.0,1,1008711,"6.847279703417361E-11"
368.0,1,1008711,"6.819496421785838E-11"
369.0,1,1008711,"6.789581332585701E-11"
370.0,1,1008711,"6.76411368075818E-11"
371.0,1,1008711,"6.737421235323927E-11"
372.0,1,1008711,"6.70953606409191E-11"
373.0,1,1008711,"6.6781120620728E-11"
374.0,1,1008711,"6.648577728089935E-11"
375.0,1,1008711,"6.617839242388041E-11"
376.0,1,1008711,"6.59006849736298E-11"
377.0,1,1008711,"6.558304775319335E-11"
378.0,1,1008711,"6.533374438914908E-11"
379.0,1,1008711,"6.510848580807885E-11"
380.0,1,1008711,"6.487667160550289E-11"
381.0,1,1008711,"6.474202485443062E-11"
382.0,1,1008711,"6.443314445663124E-11"
383.0,1,1008711,"6.416644618200889E-11"
384.0,1,1008711,"6.393940857533443E-11"
385.0,1,1008711,"6.367475330919441E-11"
386.0,1,1008711,"6.342590441246395E-11"
387.0,1,1008711,"6.31387161258876E-11"
388.0,1,1008711,"6.28953467685616E-11"
389.0,1,1008711,"6.265635644700282E-11"
390.0,1,1008711,"6.243303706693587E-11"
391.0,1,1008711,"6.218183756270775E-11"
392.0,1,1008711,"6.190758093084295E-11"
393.0,1,1008711,"6.165470513345054E-11"
394.0,1,1008711,"6.142250883657726E-11"
395.0,1,1008711,"6.116697798079745E-11"
396.0,1,1008711,"6.092507419335485E-11"
397.0,1,1008711,"6.068540359139814E-11"
398.0,1,1008711,"6.047444835784177E-11"
399.0,1,1008711,"6.026713997181057E-11"
400.0,1,1008711,"6.007040021407837E-11"
401.0,1,1008711,"5.976817401096634E-11"
402.0,1,1008711,"5.953084209181292E-11"
403.0,1,1008711,"5.925103373828991E-11"
404.0,1,1008711,"5.902989408866905E-11"
405.0,1,1008711,"5.881090351501036E-11"
406.0,1,1008711,"5.858959436905821E-11"
407.0,1,1008711,"5.836379596618285E-11"
408.0,1,1008711,"5.814206184952295E-11"
409.0,1,1008711,"5.791091737597701E-11"
410.0,1,1008711,"5.769868295157122E-11"
411.0,1,1008711,"5.748495280537595E-11"
412.0,1,1008711,"5.723310917560111E-11"
413.0,1,1008711,"5.70386401104276E-11"
414.0,1,1008711,"5.68427345969983E-11"
415.0,1,1008711,"5.66263561794215E-11"
416.0,1,1008711,"5.642741369381616E-11"
417.0,1,1008711,"5.619133256856542E-11"
418.0,1,1008711,"5.59911662579942E-11"
419.0,1,1008711,"5.580045152930755E-11"
420.0,1,1008711,"5.5605493370787934E-11"
421.0,1,1008711,"5.547955429045779E-11"
422.0,1,1008711,"5.520431981388549E-11"
423.0,1,1008711,"5.4984338677423644E-11"
424.0,1,1008711,"5.4808926516111494E-11"
425.0,1,1008711,"5.4620392111011155E-11"
426.0,1,1008711,"5.4425860773965196E-11"
427.0,1,1008711,"5.423799242547885E-11"
428.0,1,1008711,"5.406352105244639E-11"
429.0,1,1008711,"5.3879074307781286E-11"
430.0,1,1008711,"5.37074682866311E-11"
431.0,1,1008711,"5.34491508915163E-11"
432.0,1,1008711,"5.328945454746213E-11"
433.0,1,1008711,"5.306945396689317E-11"
434.0,1,1008711,"5.2863795845942263E-11"
435.0,1,1008711,"5.2684513552189995E-11"
436.0,1,1008711,"5.2493918858718177E-11"
437.0,1,1008711,"5.23199770989225E-11"
438.0,1,1008711,"5.213607290539635E-11"
439.0,1,1008711,"5.197349970039232E-11"
440.0,1,1008711,"5.181328652095751E-11"
441.0,1,1008711,"5.1651502946783134E-11"
442.0,1,1008711,"5.1424388073825665E-11"
443.0,1,1008711,"5.123153087169268E-11"
444.0,1,1008711,"5.1051130452340965E-11"
445.0,1,1008711,"5.087197740638781E-11"
446.0,1,1008711,"5.0667142335666386E-11"
447.0,1,1008711,"5.0489590033468904E-11"
448.0,1,1008711,"5.029992661677271E-11"
449.0,1,1008711,"5.012242659215861E-11"
450.0,1,1008711,"4.996319873905799E-11"
451.0,1,1008711,"4.9845380937715384E-11"
452.0,1,1008711,"4.962013371366061E-11"
453.0,1,1008711,"4.9468153013051325E-11"
454.0,1,1008711,"4.933296703567114E-11"
455.0,1,1008711,"4.9172282216758875E-11"
456.0,1,1008711,"4.90007927026423E-11"
457.0,1,1008711,"4.882725545136683E-11"
458.0,1,1008711,"4.866076989297173E-11"
459.0,1,1008711,"4.8507212243376294E-11"
460.0,1,1008711,"4.834139851287693E-11"
461.0,1,1008711,"4.8135011304868456E-11"
462.0,1,1008711,"4.798524021024264E-11"
463.0,1,1008711,"4.780071210210877E-11"
464.0,1,1008711,"4.763294883974465E-11"
465.0,1,1008711,"4.745461100326599E-11"
466.0,1,1008711,"4.7303698138828006E-11"
467.0,1,1008711,"4.7128059916621895E-11"
468.0,1,1008711,"4.696564328457804E-11"
469.0,1,1008711,"4.680911777082495E-11"
470.0,1,1008711,"4.6658374780353545E-11"
471.0,1,1008711,"4.648563977800158E-11"
472.0,1,1008711,"4.63420088977351E-11"
473.0,1,1008711,"4.6176451087627355E-11"
474.0,1,1008711,"4.604745687316467E-11"
475.0,1,1008711,"4.5893132264105956E-11"
476.0,1,1008711,"4.573031479307014E-11"
477.0,1,1008711,"4.558747508798343E-11"
478.0,1,1008711,"4.542641792481748E-11"
479.0,1,1008711,"4.528419212994786E-11"
480.0,1,1008711,"4.5141266462715354E-11"
481.0,1,1008711,"4.500121547408215E-11"
482.0,1,1008711,"4.4870574290400596E-11"
483.0,1,1008711,"4.471837087946049E-11"
484.0,1,1008711,"4.459026636164874E-11"
485.0,1,1008711,"4.4456906354347164E-11"
486.0,1,1008711,"4.428244756152612E-11"
487.0,1,1008711,"4.412840350355127E-11"
488.0,1,1008711,"4.399243639256854E-11"
489.0,1,1008711,"4.3849277566989334E-11"
490.0,1,1008711,"4.3728013780663733E-11"
491.0,1,1008711,"4.354543235022613E-11"
492.0,1,1008711,"4.336718570523095E-11"
493.0,1,1008711,"4.3274254584486606E-11"
494.0,1,1008711,"4.315506427860127E-11"
495.0,1,1008711,"4.3029310781967975E-11"
496.0,1,1008711,"4.28973061865104E-11"
497.0,1,1008711,"4.276531365830735E-11"
498.0,1,1008711,"4.264138417930753E-11"
499.0,1,1008711,"4.251706476993093E-11"
500.0,1,1008711,"4.237784586951375E-11"
501.0,1,1008711,"4.2297680155186815E-11"
502.0,1,1008711,"4.216557468228389E-11"
503.0,1,1008711,"4.19865406252207E-11"
504.0,1,1008711,"4.184197371825282E-11"
505.0,1,1008711,"4.168851830876439E-11"
506.0,1,1008711,"4.154217326233492E-11"
507.0,1,1008711,"4.141358022507219E-11"
508.0,1,1008711,"4.1278223000249466E-11"
509.0,1,1008711,"4.112861222775636E-11"
510.0,1,1008711,"4.099655281645103E-11"
511.0,1,1008711,"4.0882328984063376E-11"
512.0,1,1008711,"4.07087746759834E-11"
513.0,1,1008711,"4.0592133880636354E-11"
514.0,1,1008711,"4.046807393581513E-11"
515.0,1,1008711,"4.036191630922163E-11"
516.0,1,1008711,"4.023762087518634E-11"
517.0,1,1008711,"4.012508939532321E-11"
518.0,1,1008711,"3.999913774203641E-11"
519.0,1,1008711,"3.98944943043602E-11"
520.0,1,1008711,"3.9787027676737095E-11"
521.0,1,1008711,"3.9735761762557475E-11"
522.0,1,1008711,"3.954149408485014E-11"
523.0,1,1008711,"3.942840034173299E-11"
524.0,1,1008711,"3.932564045549745E-11"
525.0,1,1008711,"3.920413893992934E-11"
526.0,1,1008711,"3.907229484513942E-11"
527.0,1,1008711,"3.8956191580978535E-11"
528.0,1,1008711,"3.884908752678911E-11"
529.0,1,1008711,"3.8737417730433344E-11"
530.0,1,1008711,"3.861609428382009E-11"
531.0,1,1008711,"3.847993612551598E-11"
532.0,1,1008711,"3.8382225918918263E-11"
533.0,1,1008711,"3.824046866272054E-11"
534.0,1,1008711,"3.812857949276989E-11"
535.0,1,1008711,"3.801168527159258E-11"
536.0,1,1008711,"3.790772048615659E-11"
537.0,1,1008711,"3.7812704947040124E-11"
538.0,1,1008711,"3.771576044789793E-11"
539.0,1,1008711,"3.760969421351648E-11"
540.0,1,1008711,"3.7511226992026534E-11"
541.0,1,1008711,"3.7411814789719067E-11"
542.0,1,1008711,"3.730195109702799E-11"
543.0,1,1008711,"3.716578489508452E-11"
544.0,1,1008711,"3.704613502229952E-11"
545.0,1,1008711,"3.694461657941835E-11"
546.0,1,1008711,"3.6833840571747476E-11"
547.0,1,1008711,"3.672319057937762E-11"
548.0,1,1008711,"3.663368135104897E-11"
549.0,1,1008711,"3.65406271786621E-11"
550.0,1,1008711,"3.6424790432160415E-11"
551.0,1,1008711,"3.6286609215879644E-11"
552.0,1,1008711,"3.621309410896291E-11"
553.0,1,1008711,"3.612287111996108E-11"
554.0,1,1008711,"3.602977517333581E-11"
555.0,1,1008711,"3.593203043178279E-11"
556.0,1,1008711,"3.583429945641348E-11"
557.0,1,1008711,"3.573819643894931E-11"
558.0,1,1008711,"3.564714949507263E-11"
559.0,1,1008711,"3.554375541707093E-11"
560.0,1,1008711,"3.5462383197450854E-11"
561.0,1,1008711,"3.539259056977897E-11"
562.0,1,1008711,"3.5258532276573094E-11"
563.0,1,1008711,"3.5176238786856186E-11"
564.0,1,1008711,"3.506532889072163E-11"
565.0,1,1008711,"3.498308837493147E-11"
566.0,1,1008711,"3.4878782426809436E-11"
567.0,1,1008711,"3.478535526493181E-11"
568.0,1,1008711,"3.46939834457695E-11"
569.0,1,1008711,"3.460694585668689E-11"
570.0,1,1008711,"3.4507716177535835E-11"
571.0,1,1008711,"3.4423727547382455E-11"
572.0,1,1008711,"3.4356059823944686E-11"
573.0,1,1008711,"3.4222558403884675E-11"
574.0,1,1008711,"3.412983000805515E-11"
575.0,1,1008711,"3.4046061235392166E-11"
576.0,1,1008711,"3.395227670545278E-11"
577.0,1,1008711,"3.38527217351723E-11"
578.0,1,1008711,"3.375914894296395E-11"
579.0,1,1008711,"3.3675992688704245E-11"
580.0,1,1008711,"3.359084484654763E-11"
581.0,1,1008711,"3.350747339738548E-11"
582.0,1,1008711,"3.3390296018929024E-11"
583.0,1,1008711,"3.3305436628250035E-11"
584.0,1,1008711,"3.321332720546034E-11"
585.0,1,1008711,"3.3123548909544606E-11"
586.0,1,1008711,"3.304948484179395E-11"
587.0,1,1008711,"3.295141106612083E-11"
588.0,1,1008711,"3.286080301767352E-11"
589.0,1,1008711,"3.277602801722911E-11"
590.0,1,1008711,"3.269901808728445E-11"
591.0,1,1008711,"3.2574087446726364E-11"
592.0,1,1008711,"3.2503279739572754E-11"
593.0,1,1008711,"3.2407954195807477E-11"
594.0,1,1008711,"3.232878839327167E-11"
595.0,1,1008711,"3.225347880683126E-11"
596.0,1,1008711,"3.217650590284449E-11"
