"tick","run","random_seed","Generation Time G(D+T+R)","Generation Time G(D)","Generation Time G(R)","Generation Time G(T)"
157.0,1,510102448,"37.58668556391496","40.81860221481488","38.46344634699948","0.0"
158.0,1,510102448,"37.595910019315085","40.831202621494256","38.46350710887038","0.0"
159.0,1,510102448,"37.61168086147184","40.68986394813221","38.49303495734768","0.0"
160.0,1,510102448,"37.64931150346834","40.78993713948601","38.53482372342785","0.0"
161.0,1,510102448,"37.67162147582265","40.73953126543029","38.576079546020004","0.0"
162.0,1,510102448,"37.62230970686254","40.769117528163086","38.57828224922248","0.0"
163.0,1,510102448,"37.55100857151075","40.65867351867273","38.504042524878166","0.0"
164.0,1,510102448,"37.52980313701666","40.6967485601395","38.476984589586195","0.0"
165.0,1,510102448,"37.53429291479502","40.6693905814361","38.50708438081917","0.0"
166.0,1,510102448,"37.560523701611096","40.915871736475104","38.526659731462054","0.0"
167.0,1,510102448,"37.52443050486988","40.95904123674727","38.461130323534505","0.0"
168.0,1,510102448,"37.55558495286187","41.00457913152772","38.4862950758846","0.0"
169.0,1,510102448,"37.60193624316508","41.05238433156277","38.534281908007614","0.0"
170.0,1,510102448,"37.63608498213218","41.03901846468942","38.569714804063544","0.0"
171.0,1,510102448,"37.58710583697314","41.09211842729993","38.605277918362965","0.0"
172.0,1,510102448,"37.59292610292582","40.96594568871623","38.6105544596104","0.0"
173.0,1,510102448,"37.59110313312165","40.96709903155656","38.647014457931675","0.0"
174.0,1,510102448,"37.6006784407726","41.02947965746185","38.661187641743034","0.0"
175.0,1,510102448,"37.547305983714274","40.869826646472525","38.61308028440539","0.0"
176.0,1,510102448,"37.57910085599727","40.777098225264425","38.643561442293645","0.0"
177.0,1,510102448,"37.63061323297689","40.84951987110076","38.70179201966159","0.0"
178.0,1,510102448,"37.67883758481069","40.87152200477771","38.738928100281065","0.0"
179.0,1,510102448,"37.677548996369545","40.74625488930068","38.742031109618246","0.0"
180.0,1,510102448,"37.697895778965304","40.82562461791529","38.76654294318388","0.0"
181.0,1,510102448,"37.71796939296188","40.76227531245595","38.79573716717615","0.0"
182.0,1,510102448,"37.73008139794789","40.705937630156335","38.85982518194802","114.50088880281014"
183.0,1,510102448,"37.676042406663825","40.7011073406085","38.79119438974701","112.89279791184478"
184.0,1,510102448,"37.64026448506107","40.70021981599269","38.7712249834064","109.51502387914223"
185.0,1,510102448,"37.63698319115862","40.574923482925335","38.785768410400394","107.06566287781328"
186.0,1,510102448,"37.65422092894918","40.50157215306305","38.80164382630125","106.10426153726834"
187.0,1,510102448,"37.673003760150266","40.515712843933706","38.81712668742941","105.09236745754933"
188.0,1,510102448,"37.69594762744938","40.41564859818748","38.84881622820521","103.74492354487411"
189.0,1,510102448,"37.72284057534699","40.43805723841381","38.87958839387167","102.48596445993631"
190.0,1,510102448,"37.754769722494686","40.53814671129547","38.90315223362207","101.84079498020392"
191.0,1,510102448,"37.77762872767176","40.56441628225912","38.915285688726755","101.40143426484487"
192.0,1,510102448,"37.74781138625484","40.59320232525183","38.93504322782019","97.15622416405571"
193.0,1,510102448,"37.726602258041645","40.518262385496605","38.914259421462475","95.91408777034374"
194.0,1,510102448,"37.75535573526214","40.657896181654515","38.962080703028185","94.02989851800452"
195.0,1,510102448,"37.76582776412075","40.55731200089293","38.984283990151916","92.80054289370955"
196.0,1,510102448,"37.81183660122935","40.597455185904685","39.04148493171602","91.77387279987212"
