"tick","run","random_seed","Relative contribution of horizontal transfer","Relative contribution of vertical transfer","Relative contribution of transconjugants re-transfers"
138.0,1,1008711,"0.48788927335640137","0.5121107266435986","0.0"
139.0,1,1008711,"0.47796610169491527","0.5220338983050847","0.0"
140.0,1,1008711,"0.47651006711409394","0.5234899328859061","0.0"
141.0,1,1008711,"0.474025974025974","0.525974025974026","0.0"
142.0,1,1008711,"0.504424778761062","0.49557522123893805","0.0"
143.0,1,1008711,"0.5","0.5","0.0"
144.0,1,1008711,"0.4931129476584022","0.5068870523415978","0.0"
145.0,1,1008711,"0.47733333333333333","0.5226666666666666","0.0"
146.0,1,1008711,"0.4780361757105943","0.5219638242894057","0.0"
147.0,1,1008711,"0.46954314720812185","0.5304568527918782","0.0"
148.0,1,1008711,"0.4609756097560976","0.5390243902439025","0.0"
149.0,1,1008711,"0.45346062052505964","0.5465393794749404","0.0"
150.0,1,1008711,"0.44522144522144524","0.5547785547785548","0.0"
151.0,1,1008711,"0.4400921658986175","0.5599078341013825","0.0"
152.0,1,1008711,"0.4677754677754678","0.5322245322245323","0.0"
153.0,1,1008711,"0.45546558704453444","0.5445344129554656","0.0"
154.0,1,1008711,"0.44731610337972166","0.5526838966202783","0.0"
155.0,1,1008711,"0.4508670520231214","0.5491329479768786","0.0"
156.0,1,1008711,"0.4431818181818182","0.5568181818181818","0.0"
157.0,1,1008711,"0.4368231046931408","0.5631768953068592","0.0"
158.0,1,1008711,"0.43137254901960786","0.5686274509803921","0.0"
159.0,1,1008711,"0.4263157894736842","0.5736842105263158","0.0"
160.0,1,1008711,"0.4195205479452055","0.5804794520547946","0.0"
161.0,1,1008711,"0.41245791245791247","0.5875420875420876","0.0"
162.0,1,1008711,"0.4083333333333333","0.5916666666666667","0.0"
163.0,1,1008711,"0.40032679738562094","0.5996732026143791","0.0"
164.0,1,1008711,"0.443952802359882","0.556047197640118","0.0"
165.0,1,1008711,"0.4461538461538462","0.5538461538461539","0.0"
166.0,1,1008711,"0.4399460188933873","0.5600539811066126","0.0"
167.0,1,1008711,"0.4340369393139842","0.5659630606860159","0.0"
168.0,1,1008711,"0.43444730077120824","0.5655526992287918","0.0"
169.0,1,1008711,"0.4310998735777497","0.5689001264222503","0.0"
170.0,1,1008711,"0.4268142681426814","0.5731857318573186","0.0"
171.0,1,1008711,"0.4209891435464415","0.5790108564535585","0.0"
172.0,1,1008711,"0.41169590643274856","0.5883040935672514","0.0"
173.0,1,1008711,"0.44776119402985076","0.5522388059701493","0.0"
174.0,1,1008711,"0.4526958290946083","0.5473041709053916","0.0"
175.0,1,1008711,"0.45490584737363726","0.5450941526263627","0.0"
176.0,1,1008711,"0.4495145631067961","0.5504854368932038","0.0"
177.0,1,1008711,"0.4384469696969697","0.5615530303030303","0.0"
178.0,1,1008711,"0.4359925788497217","0.5640074211502782","0.0"
179.0,1,1008711,"0.4314079422382672","0.5685920577617328","0.0"
180.0,1,1008711,"0.42670157068062825","0.5732984293193717","0.0"
181.0,1,1008711,"0.4202401372212693","0.5797598627787307","0.0"
182.0,1,1008711,"0.41422594142259417","0.5857740585774058","0.0"
183.0,1,1008711,"0.44801223241590216","0.5519877675840978","0.0"
184.0,1,1008711,"0.43928035982008995","0.56071964017991","0.0"
185.0,1,1008711,"0.4433285509325681","0.5566714490674318","0.0"
186.0,1,1008711,"0.4416491963661775","0.5583508036338225","0.0"
187.0,1,1008711,"0.44059742023082143","0.5594025797691785","0.0"
188.0,1,1008711,"0.43564356435643564","0.5643564356435643","0.0"
189.0,1,1008711,"0.43125810635538264","0.5687418936446174","0.0"
190.0,1,1008711,"0.4252068746021642","0.5747931253978358","0.0"
191.0,1,1008711,"0.42375","0.57625","0.0"
192.0,1,1008711,"0.4137720901889092","0.5862279098110909","0.0"
193.0,1,1008711,"0.44525547445255476","0.5547445255474452","0.0"
194.0,1,1008711,"0.43836373687119956","0.5616362631288004","0.0"
195.0,1,1008711,"0.4441489361702128","0.5558510638297872","0.0"
196.0,1,1008711,"0.4400411734431292","0.5599588265568708","0.0"
197.0,1,1008711,"0.4341512268402604","0.5658487731597396","0.0"
198.0,1,1008711,"0.4266732283464567","0.5733267716535433","0.0"
199.0,1,1008711,"0.4239497827136649","0.5760502172863351","0.0"
200.0,1,1008711,"0.41923259118900996","0.5807674088109901","0.0"
201.0,1,1008711,"0.4163189615206305","0.5836810384793695","0.0"
202.0,1,1008711,"0.4121929026387625","0.5878070973612375","0.0"
203.0,1,1008711,"0.43088047639302424","0.5691195236069757","0.0"
204.0,1,1008711,"0.4215563878485227","0.5784436121514773","0.0"
205.0,1,1008711,"0.42742902838864455","0.5725709716113555","0.0"
206.0,1,1008711,"0.42818110850897734","0.5718188914910226","0.0"
207.0,1,1008711,"0.42574257425742573","0.5742574257425742","0.0"
208.0,1,1008711,"0.4216236438458661","0.578376356154134","0.0"
209.0,1,1008711,"0.42070484581497797","0.579295154185022","0.0"
210.0,1,1008711,"0.417027417027417","0.5829725829725829","0.0"
211.0,1,1008711,"0.41262482168330955","0.5873751783166904","0.0"
212.0,1,1008711,"0.4315998675057966","0.5684001324942034","0.0"
213.0,1,1008711,"0.4229146381045115","0.5770853618954884","0.0"
214.0,1,1008711,"0.4286608260325407","0.5713391739674594","0.0"
215.0,1,1008711,"0.4273530307645446","0.5726469692354553","0.0"
216.0,1,1008711,"0.4256333830104322","0.5743666169895678","0.0"
217.0,1,1008711,"0.41987650690973244","0.5801234930902676","0.0"
218.0,1,1008711,"0.41820809248554913","0.5817919075144509","0.0"
219.0,1,1008711,"0.4150997150997151","0.5849002849002849","0.0"
220.0,1,1008711,"0.4112699747687132","0.5887300252312868","0.0"
221.0,1,1008711,"0.40778575372722253","0.5922142462727775","0.0"
