"tick","run","random_seed","gamma0(N)","gamma0(D)","gamma0(T)"
528.0,1,510102448,"0.8096828046744574","0.8096828046744574","0.0"
529.0,1,510102448,"0.8098943857698722","0.8098943857698722","0.0"
530.0,1,510102448,"0.8100703443169197","0.8100703443169197","0.0"
531.0,1,510102448,"0.8096207215541166","0.8096207215541166","0.0"
532.0,1,510102448,"0.8102876106194691","0.8102876106194691","0.0"
533.0,1,510102448,"0.8079044117647058","0.8079044117647058","0.0"
534.0,1,510102448,"0.808256880733945","0.808256880733945","0.0"
535.0,1,510102448,"0.8087131612667032","0.8087131612667032","0.0"
536.0,1,510102448,"0.8090626712954504","0.8090626712954504","0.0"
537.0,1,510102448,"0.8092717649206059","0.8092717649206059","0.0"
538.0,1,510102448,"0.8094804010938924","0.8094804010938924","0.0"
539.0,1,510102448,"0.8096192384769539","0.8096192384769539","0.0"
540.0,1,510102448,"0.8097232337946103","0.8097232337946103","0.0"
541.0,1,510102448,"0.8097925009100837","0.8097925009100837","0.0"
542.0,1,510102448,"0.810448031924542","0.810448031924542","0.0"
543.0,1,510102448,"0.8085414404632646","0.8085414404632646","0.0"
544.0,1,510102448,"0.8089907925618343","0.8089907925618343","0.0"
545.0,1,510102448,"0.809266270055886","0.809266270055886","0.0"
546.0,1,510102448,"0.8097122302158274","0.8097122302158274","0.0"
547.0,1,510102448,"0.809951499910185","0.809951499910185","0.0"
548.0,1,510102448,"0.8101561098151804","0.8101561098151804","0.0"
549.0,1,510102448,"0.8092848180677541","0.8092848180677541","0.0"
550.0,1,510102448,"0.8095238095238095","0.8095238095238095","0.0"
