"tick","run","random_seed","Gamma end-point (D+R+T growth rate)"
106.0,1,383639,"4.192571828840629E-10"
107.0,1,383639,"4.028964917028835E-10"
108.0,1,383639,"4.105515671661418E-10"
109.0,1,383639,"4.0578329569768483E-10"
110.0,1,383639,"3.984727165683011E-10"
111.0,1,383639,"3.801394164373465E-10"
112.0,1,383639,"3.6893308589235663E-10"
113.0,1,383639,"3.8030858969240723E-10"
114.0,1,383639,"3.7064356989741244E-10"
115.0,1,383639,"3.70033283676484E-10"
116.0,1,383639,"3.546352763797533E-10"
117.0,1,383639,"3.583490802135194E-10"
118.0,1,383639,"3.5020392766499235E-10"
119.0,1,383639,"3.491947420095696E-10"
120.0,1,383639,"3.4336994465983876E-10"
121.0,1,383639,"3.3366526901639066E-10"
122.0,1,383639,"3.514907334226787E-10"
123.0,1,383639,"3.4843754024542846E-10"
124.0,1,383639,"3.468878122529797E-10"
125.0,1,383639,"3.4255603087651666E-10"
126.0,1,383639,"3.34424284872284E-10"
127.0,1,383639,"3.3312315667103396E-10"
128.0,1,383639,"3.259365179394092E-10"
129.0,1,383639,"3.1969175120585893E-10"
130.0,1,383639,"3.183594164608832E-10"
131.0,1,383639,"3.087809664913353E-10"
132.0,1,383639,"3.166470631569562E-10"
133.0,1,383639,"3.018171714383733E-10"
134.0,1,383639,"2.992769390565151E-10"
135.0,1,383639,"2.8855813510114894E-10"
136.0,1,383639,"2.8196591085600355E-10"
137.0,1,383639,"2.8108948850965154E-10"
138.0,1,383639,"2.767740894023907E-10"
139.0,1,383639,"2.6694853899640565E-10"
140.0,1,383639,"2.675474104388358E-10"
141.0,1,383639,"2.6114188014279814E-10"
142.0,1,383639,"2.5357611954115893E-10"
143.0,1,383639,"2.6283276792419273E-10"
144.0,1,383639,"2.5812260741620554E-10"
145.0,1,383639,"2.571967569557813E-10"
146.0,1,383639,"2.506095941017266E-10"
147.0,1,383639,"2.448808395958997E-10"
148.0,1,383639,"2.395251877793383E-10"
149.0,1,383639,"2.3490043688970534E-10"
150.0,1,383639,"2.321435756091174E-10"
151.0,1,383639,"2.3087080411251272E-10"
152.0,1,383639,"2.2213923453644845E-10"
153.0,1,383639,"2.2771038144491625E-10"
154.0,1,383639,"2.235554589136956E-10"
155.0,1,383639,"2.2149402396686857E-10"
156.0,1,383639,"2.17091865485648E-10"
157.0,1,383639,"2.1629219081632288E-10"
158.0,1,383639,"2.1442705224605413E-10"
159.0,1,383639,"2.1054760456756874E-10"
160.0,1,383639,"2.1056630492638124E-10"
161.0,1,383639,"2.0347041632634403E-10"
162.0,1,383639,"2.114412434379196E-10"
163.0,1,383639,"2.0883288360205972E-10"
164.0,1,383639,"2.0499112083816904E-10"
165.0,1,383639,"2.0190126292505799E-10"
166.0,1,383639,"1.9730998451968656E-10"
167.0,1,383639,"1.953055194093168E-10"
168.0,1,383639,"1.9167251180400294E-10"
169.0,1,383639,"1.896392619133686E-10"
170.0,1,383639,"1.8808342930551745E-10"
171.0,1,383639,"1.8535872857505253E-10"
172.0,1,383639,"1.8006948388601926E-10"
173.0,1,383639,"1.8458602219922733E-10"
174.0,1,383639,"1.825206773183588E-10"
175.0,1,383639,"1.788086014331151E-10"
176.0,1,383639,"1.7526884021741445E-10"
177.0,1,383639,"1.7140415072801244E-10"
178.0,1,383639,"1.7157146753062014E-10"
179.0,1,383639,"1.6705115528131514E-10"
180.0,1,383639,"1.6485057617979815E-10"
181.0,1,383639,"1.697805497948057E-10"
182.0,1,383639,"1.6584412901384307E-10"
183.0,1,383639,"1.6284301880002743E-10"
184.0,1,383639,"1.5938347564783826E-10"
185.0,1,383639,"1.5938290424350134E-10"
186.0,1,383639,"1.55485064964669E-10"
187.0,1,383639,"1.5445739694803984E-10"
188.0,1,383639,"1.5181866854101893E-10"
189.0,1,383639,"1.493640560144844E-10"
190.0,1,383639,"1.4778161242879635E-10"
191.0,1,383639,"1.460578048617056E-10"
192.0,1,383639,"1.4891614007415223E-10"
193.0,1,383639,"1.4545563186487053E-10"
194.0,1,383639,"1.4300920871561118E-10"
195.0,1,383639,"1.400251437630855E-10"
196.0,1,383639,"1.4128033080621688E-10"
197.0,1,383639,"1.3838612256954557E-10"
198.0,1,383639,"1.364399298559168E-10"
199.0,1,383639,"1.3653894981275108E-10"
200.0,1,383639,"1.3464367689173437E-10"
201.0,1,383639,"1.3280291003488082E-10"
202.0,1,383639,"1.3035968523962422E-10"
203.0,1,383639,"1.3381211421771546E-10"
204.0,1,383639,"1.32919852674075E-10"
205.0,1,383639,"1.3033079966005715E-10"
206.0,1,383639,"1.2877828050241811E-10"
207.0,1,383639,"1.266677972177129E-10"
208.0,1,383639,"1.2529173879014988E-10"
209.0,1,383639,"1.2262806974898352E-10"
210.0,1,383639,"1.2066023534483858E-10"
211.0,1,383639,"1.2272577910754322E-10"
